id,run_id,query,title,url,snippet,domain,rank,raw_json
1,1,Scheuersaugmaschine,Professionelle Scheuersaugmaschinen,https://kaercher-store-kohn.de/Professional/Scheuer-Scheuersaugmaschinen/?srsltid=AfmBOop3LMk8L4nj6bHp_8DOKo-oGxGuG2VtYdZIggxUvG4K5zOSHdCG,"Ein geräuscharmes Scheuern und Saugen ist in beide Richtungen möglich. Sie verfügt über einen zusammenklappbaren Schubbügel sowie abnehmbare Tanks, die mit ...",kaercher-store-kohn.de,1,"{""title"": ""Professionelle Scheuersaugmaschinen"", ""url"": ""https://kaercher-store-kohn.de/Professional/Scheuer-Scheuersaugmaschinen/?srsltid=AfmBOop3LMk8L4nj6bHp_8DOKo-oGxGuG2VtYdZIggxUvG4K5zOSHdCG"", ""snippet"": ""Ein geräuscharmes Scheuern und Saugen ist in beide Richtungen möglich. Sie verfügt über einen zusammenklappbaren Schubbügel sowie abnehmbare Tanks, die mit ..."", ""query"": ""Scheuersaugmaschine""}"
2,1,Scheuersaugmaschine,Mitgänger Scheuersaugmaschinen - wap-nilfisk-alto-shop.de,https://www.wap-nilfisk-alto-shop.de/bodenreinigungsmaschinen/mitgaenger-scheuersaugmaschinen,Die zuverlässige Scheuersaugmaschine mit Antrieb Mit Fahrantrieb für mühelose Reinigung und Manöfrierfähigkeit ohne Kraftaufwand.,wap-nilfisk-alto-shop.de,2,"{""title"": ""Mitgänger Scheuersaugmaschinen - wap-nilfisk-alto-shop.de"", ""url"": ""https://www.wap-nilfisk-alto-shop.de/bodenreinigungsmaschinen/mitgaenger-scheuersaugmaschinen"", ""snippet"": ""Die zuverlässige Scheuersaugmaschine mit Antrieb Mit Fahrantrieb für mühelose Reinigung und Manöfrierfähigkeit ohne Kraftaufwand."", ""query"": ""Scheuersaugmaschine""}"
3,1,Scheuersaugmaschine,kleine Scheuersaugmaschine,https://www.nilfisk-reiniger.de/bodenreinigungsmaschinen/scheuersaug-maschinen/kleine-scheuersaug-maschine/,Unser breit gefächertes Produktportfolio bietet nicht nur für industrielle und gewerbliche Zwecke die optimale Reinigungslösung – auch für die private Nutzung ...,nilfisk-reiniger.de,3,"{""title"": ""kleine Scheuersaugmaschine"", ""url"": ""https://www.nilfisk-reiniger.de/bodenreinigungsmaschinen/scheuersaug-maschinen/kleine-scheuersaug-maschine/"", ""snippet"": ""Unser breit gefächertes Produktportfolio bietet nicht nur für industrielle und gewerbliche Zwecke die optimale Reinigungslösung – auch für die private Nutzung ..."", ""query"": ""Scheuersaugmaschine""}"
4,1,Scheuersaugmaschine,Scheuersaugmaschine (2026) zum Bestpreis,https://www.idealo.de/preisvergleich/ProductCategory/18498F1567934.html,Scheuersaugmaschine Preise vergleichen und günstig kaufen bei idealo.de ✓ 57 Produkte ✓ Große Auswahl an Marken ✓ Bewertungen & Testberichte.,idealo.de,4,"{""title"": ""Scheuersaugmaschine (2026) zum Bestpreis"", ""url"": ""https://www.idealo.de/preisvergleich/ProductCategory/18498F1567934.html"", ""snippet"": ""Scheuersaugmaschine Preise vergleichen und günstig kaufen bei idealo.de ✓ 57 Produkte ✓ Große Auswahl an Marken ✓ Bewertungen & Testberichte."", ""query"": ""Scheuersaugmaschine""}"
5,1,Scheuersaugmaschine,Scheuersaugmaschine,https://de.wikipedia.org/wiki/Scheuersaugmaschine,"Scheuersaugautomaten gibt es als Nachläufer-Modelle für kleine bis mittlere Flächen, beispielsweise in Supermärkten, und als Aufsitzer für große Flächen, wie ...",wikipedia.org,5,"{""title"": ""Scheuersaugmaschine"", ""url"": ""https://de.wikipedia.org/wiki/Scheuersaugmaschine"", ""snippet"": ""Scheuersaugautomaten gibt es als Nachläufer-Modelle für kleine bis mittlere Flächen, beispielsweise in Supermärkten, und als Aufsitzer für große Flächen, wie ..."", ""query"": ""Scheuersaugmaschine""}"
6,1,Scheuersaugmaschine,Scheuersaugmaschine. Eine Investition in Effizienz.,https://www.kaercher.com/de/professional/scheuer-scheuersaugmaschinen.html,Eine Scheuersaugmaschine mit Scheibenbürstenkopf wird im Allgemeinen zur Unterhaltsreinigung und bei leichteren Verschmutzungen eingesetzt. Insbesondere auf ...,kaercher.com,6,"{""title"": ""Scheuersaugmaschine. Eine Investition in Effizienz."", ""url"": ""https://www.kaercher.com/de/professional/scheuer-scheuersaugmaschinen.html"", ""snippet"": ""Eine Scheuersaugmaschine mit Scheibenbürstenkopf wird im Allgemeinen zur Unterhaltsreinigung und bei leichteren Verschmutzungen eingesetzt. Insbesondere auf ..."", ""query"": ""Scheuersaugmaschine""}"
7,1,Scheuersaugmaschine,Kärcher präsentiert den Elektro-Wischmopp - kfz-betrieb,https://www.kfz-betrieb.vogel.de/kaercher-praesentiert-den-elektro-wischmopp-a-f7c0d349ed7da60d53822d62f01b5d0e/,Kärcher hat mit dem K-Mop 46 eine handgeführte Scheuersaugmaschine für enge und verwinkelte Arbeitsbereiche vorgestellt. Das Gerät verfügt laut ...,vogel.de,7,"{""title"": ""Kärcher präsentiert den Elektro-Wischmopp - kfz-betrieb"", ""url"": ""https://www.kfz-betrieb.vogel.de/kaercher-praesentiert-den-elektro-wischmopp-a-f7c0d349ed7da60d53822d62f01b5d0e/"", ""snippet"": ""Kärcher hat mit dem K-Mop 46 eine handgeführte Scheuersaugmaschine für enge und verwinkelte Arbeitsbereiche vorgestellt. Das Gerät verfügt laut ..."", ""query"": ""Scheuersaugmaschine""}"
8,1,Scheuersaugmaschine,Scheuersaugmaschine SSM Premium,https://www.schefer-deutschland.de/3301010ssm300,"Die SSM Premium 300, mit einem Bürstendurchmesser von 350 mm, eignet sich hervorragend für die tägliche, mittelflächige Reinigung von Glattböden im Innenbereich ...",schefer-deutschland.de,8,"{""title"": ""Scheuersaugmaschine SSM Premium"", ""url"": ""https://www.schefer-deutschland.de/3301010ssm300"", ""snippet"": ""Die SSM Premium 300, mit einem Bürstendurchmesser von 350 mm, eignet sich hervorragend für die tägliche, mittelflächige Reinigung von Glattböden im Innenbereich ..."", ""query"": ""Scheuersaugmaschine""}"
9,1,Kehrmaschine,Suchergebnis Auf Amazon.de Für: Kehrmaschine,https://www.amazon.de/kehrmaschine/s?k=kehrmaschine,"Kärcher Kehrmaschine S 3 Twin 2-in-1, Arbeitsbreite: 650 mm, bis zu 1.800 m²/h Fläche, Kehrgutbehälter: 16 l, Gewicht: 9,7 kg, 2 Seitenbesen für trockenen ...",amazon.de,1,"{""title"": ""Suchergebnis Auf Amazon.de Für: Kehrmaschine"", ""url"": ""https://www.amazon.de/kehrmaschine/s?k=kehrmaschine"", ""snippet"": ""Kärcher Kehrmaschine S 3 Twin 2-in-1, Arbeitsbreite: 650 mm, bis zu 1.800 m²/h Fläche, Kehrgutbehälter: 16 l, Gewicht: 9,7 kg, 2 Seitenbesen für trockenen ..."", ""query"": ""Kehrmaschine""}"
10,1,Kehrmaschine,Kehrmaschinen für schneefreie Wege im Winter,https://hecht-garten.de/winterdienst/kehrmaschinen/?srsltid=AfmBOorlLnaAzjjTb4rSjRhHniajzoYeIjzCSdINdOYU4ZEs5_8xyms0,Die Kehrmaschinen von Hecht® sind benzinbetrieben und eignen sich sowohl für den privaten Einsatz als auch für Hausmeistertätigkeiten oder ...,hecht-garten.de,2,"{""title"": ""Kehrmaschinen für schneefreie Wege im Winter"", ""url"": ""https://hecht-garten.de/winterdienst/kehrmaschinen/?srsltid=AfmBOorlLnaAzjjTb4rSjRhHniajzoYeIjzCSdINdOYU4ZEs5_8xyms0"", ""snippet"": ""Die Kehrmaschinen von Hecht® sind benzinbetrieben und eignen sich sowohl für den privaten Einsatz als auch für Hausmeistertätigkeiten oder ..."", ""query"": ""Kehrmaschine""}"
